"Ticker symbol","Security","SEC filings","GICS Sector","GICS Sub Industry","Address of Headquarters","Date first added","CIK"
"AVGO","Broadcom","reports","Information Technology","Semiconductors","San Jose, California","2014-05-08","0001441634"
"BF.B","Brown-Forman Corporation","reports","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31","0000014693"
"CHRW","C. H. Robinson Worldwide","reports","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","","0001043277"
"CA","CA, Inc.","reports","Information Technology","Systems Software","Islandia, New York","1987-07-31","0000356028"
"COG","Cabot Oil & Gas","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23","0000858470"
"CPB","Campbell Soup","reports","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","","0000016732"
"COF","Capital One Financial","reports","Financials","Consumer Finance","Tysons Corner, Virginia","","0000927628"
"CAH","Cardinal Health Inc.","reports","Health Care","Health Care Distributors","Dublin, Ohio","","0000721371"
"KMX","Carmax Inc","reports","Consumer Discretionary","Specialty Stores","Richmond, Virginia","2010-06-28","0001170010"
"CCL","Carnival Corp.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","","0000815097"
"CAT","Caterpillar Inc.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Peoria, Illinois","","0000018230"
"CBG","CBRE Group","reports","Real Estate","Real Estate Services","Los Angeles, California","","0001138118"
"CBS","CBS Corp.","reports","Consumer Discretionary","Broadcasting & Cable TV","New York, New York","1994-09-01","0000813828"
"CELG","Celgene Corp.","reports","Health Care","Biotechnology","Summit, New Jersey","","0000816284"
"CNC","Centene Corporation","reports","Health Care","Managed Health Care","St Louis, Missouri","2016-03-30","0001071739"
"CNP","CenterPoint Energy","reports","Utilities","MultiUtilities","Houston, Texas","1985-07-31","0001130310"
"CTL","CenturyLink Inc","reports","Telecommunications Services","Integrated Telecommunications Services","Monroe, Louisiana","","0000018926"
"CERN","Cerner","reports","Health Care","Health Care Technology","North Kansas City, Missouri","2010-04-30","0000804753"
"CF","CF Industries Holdings Inc","reports","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27","0001324404"
"SCHW","Charles Schwab Corporation","reports","Financials","Investment Banking & Brokerage","San Francisco, California","","0000316709"
"CHTR","Charter Communications","reports","Consumer Discretionary","Cable & Satellite","Stamford, Connecticut","2016-09-08","0001091667"
"CHK","Chesapeake Energy","reports","Energy","Integrated Oil & Gas","Oklahoma City, Oklahoma","","0000895126"
"CVX","Chevron Corp.","reports","Energy","Integrated Oil & Gas","San Ramon, California","","0000093410"
"CMG","Chipotle Mexican Grill","reports","Consumer Discretionary","Restaurants","Denver, Colorado","2011-04-28","0001058090"
"CB","Chubb Limited","reports","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15","0000896159"
"CHD","Church & Dwight","reports","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29","0000313927"
"CI","CIGNA Corp.","reports","Health Care","Managed Health Care","Philadelphia, Pennsylvania","1976-06-30","0000701221"
"XEC","Cimarex Energy","reports","Energy","Oil & Gas Exploration & Production","Denver, Colorado","2014-06-21","0001168054"
"CINF","Cincinnati Financial","reports","Financials","Property & Casualty Insurance","Fairfield, Ohio","","0000020286"
"CTAS","Cintas Corporation","reports","Industrials","Diversified Support Services","Mason, Ohio","","0000723254"
"CSCO","Cisco Systems","reports","Information Technology","Networking Equipment","San Jose, California","1993-12-01","0000858877"
"C","Citigroup Inc.","reports","Financials","Banks","New York, New York","1988-05-31","0000831001"
"CFG","Citizens Financial Group","reports","Financials","Regional Banks","Providence, Rhode Island","2016-01-29","0000759944"
"CTXS","Citrix Systems","reports","Information Technology","Internet Software & Services","Fort Lauderdale, Florida","","0000877890"
"CME","CME Group Inc.","reports","Financials","Financial Exchanges & Data","Chicago, Illinois","","0001156375"
"CMS","CMS Energy","reports","Utilities","MultiUtilities","Jackson, Michigan","","0000811156"
"COH","Coach Inc.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","","0001116132"
"KO","Coca Cola Company","reports","Consumer Staples","Soft Drinks","Atlanta, Georgia","","0000021344"
"CTSH","Cognizant Technology Solutions","reports","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","","0001058290"
"CL","Colgate-Palmolive","reports","Consumer Staples","Household Products","New York, New York","","0000021665"
"CMCSA","Comcast A Corp","reports","Consumer Discretionary","Cable & Satellite","Philadelphia, Pennsylvania","2015-09-18","0001166691"
"CMA","Comerica Inc.","reports","Financials","Regional Banks","Dallas, Texas","","0000028412"
"CAG","ConAgra Foods Inc.","reports","Consumer Staples","Packaged Foods & Meats","Omaha, Nebraska","1983-08-31","0000023217"
"CXO","Concho Resources","reports","Energy","Oil & Gas Exploration & Production","Midland, Texas","2016-02-22","0001358071"
"COP","ConocoPhillips","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","","0001163165"
"ED","Consolidated Edison","reports","Utilities","Electric Utilities","New York, New York","","0001047862"
"STZ","Constellation Brands","reports","Consumer Staples","Distillers & Vintners","Victor, New York","","0000016918"
"GLW","Corning Inc.","reports","Information Technology","Electronic Components","Corning, New York","","0000024741"
"COST","Costco Co.","reports","Consumer Staples","Hypermarkets & Super Centers","Issaquah, Washington","1993-10-01","0000909832"
"COTY","Coty, Inc","reports","Consumer Staples","Personal Products","New York, NY","2016-10-03","0001024305"
"CCI","Crown Castle International Corp.","reports","Real Estate","REITs","Houston, Texas","2012-03-14","0001051470"
"CSRA","CSRA Inc.","reports","Information Technology","IT Consulting & Other Services","Falls Church, Virginia","2015-12-01","0001646383"
"CSX","CSX Corp.","reports","Industrials","Railroads","Jacksonville, Florida","1967-09-30","0000277948"
"CMI","Cummins Inc.","reports","Industrials","Industrial Machinery","Columbus, Indiana","1965-03-31","0000026172"
"CVS","CVS Health","reports","Consumer Staples","Drug Retail","Woonsocket, Rhode Island","","0000064803"
"DHI","D. R. Horton","reports","Consumer Discretionary","Homebuilding","Fort Worth, Texas","","0000882184"
"DHR","Danaher Corp.","reports","Industrials","Industrial Conglomerates","Washington, D.C.","","0000313616"
"DRI","Darden Restaurants","reports","Consumer Discretionary","Restaurants","Orlando, Florida","","0000940944"
"DVA","DaVita Inc.","reports","Health Care","Health Care Facilities","Denver, Colorado","2008-07-31","0000927066"
"DE","Deere & Co.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Moline, Illinois","","0000315189"
"DLPH","Delphi Automotive","reports","Consumer Discretionary","Auto Parts & Equipment","Gillingham, Kent, United Kingdom","2012-12-24","0001521332"
"DAL","Delta Air Lines","reports","Industrials","Airlines","Atlanta, Georgia","2013-09-11","0000027904"
"XRAY","Dentsply Sirona","reports","Health Care","Health Care Supplies","York, Pennsylvania","2008-11-14","0000818479"
"DVN","Devon Energy Corp.","reports","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","","0001090012"
"DLR","Digital Realty Trust","reports","Real Estate","Specialized REITs","San Francisco, California","2016-05-18","0001297996"
"DFS","Discover Financial Services","reports","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02","0001393612"
"DISCA","Discovery Communications-A","reports","Consumer Discretionary","Cable & Satellite","Silver Spring, Maryland","2010-03-01","0001437107"
"DISCK","Discovery Communications-C","reports","Consumer Discretionary","Cable & Satellite","Silver Spring, Maryland","2014-08-07","0001437107"
"DG","Dollar General","reports","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","2012-12-03","0000029534"
"DLTR","Dollar Tree","reports","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","2011-12-19","0000935703"
"D","Dominion Resources","reports","Utilities","Electric Utilities","Richmond, Virginia","","0000715957"
"DOV","Dover Corp.","reports","Industrials","Industrial Machinery","Downers Grove, Illinois","1985-10-31","0000029905"
"DOW","Dow Chemical","reports","Materials","Diversified Chemicals","Midland, Michigan","","0000029915"
"DPS","Dr Pepper Snapple Group","reports","Consumer Staples","Soft Drinks","Plano, Texas","2008-10-07","0001418135"
"DTE","DTE Energy Co.","reports","Utilities","MultiUtilities","Detroit, Michigan","","0000936340"
"DD","Du Pont (E.I.)","reports","Materials","Diversified Chemicals","Wilmington, Delaware","","0000030554"
"DUK","Duke Energy","reports","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30","0001326160"
"DNB","Dun & Bradstreet","reports","Industrials","Research & Consulting Services","Short Hills, New Jersey","2008-12-02","0001115222"
"ETFC","E*Trade","reports","Financials","Investment Banking & Brokerage","New York, New York","2004-03-31","0001015780"
"EMN","Eastman Chemical","reports","Materials","Diversified Chemicals","Kingsport, Tennessee","1994-01-01","0000915389"
"ETN","Eaton Corporation","reports","Industrials","Industrial Conglomerates","Dublin, Ireland","","0001551182"
"EBAY","eBay Inc.","reports","Information Technology","Internet Software & Services","San Jose, California","","0001065088"
"ECL","Ecolab Inc.","reports","Materials","Specialty Chemicals","St. Paul, Minnesota","1989-01-31","0000031462"
"EIX","Edison Int'l","reports","Utilities","Electric Utilities","Rosemead, California","","0000827052"
"EW","Edwards Lifesciences","reports","Health Care","Health Care Equipment","Irvine, California","2011-04-01","0001099800"
"EA","Electronic Arts","reports","Information Technology","Home Entertainment Software","Redwood City, California","","0000712515"
"EMR","Emerson Electric Company","reports","Industrials","Industrial Conglomerates","Ferguson, Missouri","1965-03-31","0000032604"
"ENDP","Endo International","reports","Health Care","Pharmaceuticals","Dublin, Ireland","2015-01-27","0001100962"
"ETR","Entergy Corp.","reports","Utilities","Electric Utilities","New Orleans, Louisiana","","0000065984"
"EVHC","Envision Healthcare Corp","reports","Health Care","Health Care Services","Nashville, Tennessee","2016-12-02","0000895930"
"EOG","EOG Resources","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","","0000821189"
"EQT","EQT Corporation","reports","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2008-12-19","0000033213"
"EFX","Equifax Inc.","reports","Industrials","Research & Consulting Services","Atlanta, Georgia","","0000033185"
"EQIX","Equinix","reports","Real Estate","REITs","Redwood City, California","2015-03-20","0001101239"
"EQR","Equity Residential","reports","Real Estate","REITs","Chicago, Illinois","","0000906107"
"ESS","Essex Property Trust, Inc.","reports","Real Estate","Residential REITs","Palo Alto, California","2014-04-02","0000920522"
"EL","Estee Lauder Cos.","reports","Consumer Staples","Personal Products","New York, New York","","0001001250"
"ES","Eversource Energy","reports","Utilities","MultiUtilities","Springfield, Massachusetts","","0000072741"
"EXC","Exelon Corp.","reports","Utilities","MultiUtilities","Chicago, Illinois","","0001109357"
"EXPE","Expedia Inc.","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Bellevue, Washington","2007-10-02","0001324424"
"EXPD","Expeditors Int'l","reports","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10","0000746515"
"ESRX","Express Scripts","reports","Health Care","Health Care Distributors","Cool Valley, Missouri","2003-09-25","0001532063"
"EXR","Extra Space Storage","reports","Real Estate","Specialized REITs","Salt Lake City, UT","2016-01-19","0001289490"
"XOM","Exxon Mobil Corp.","reports","Energy","Integrated Oil & Gas","Irving, Texas","","0000034088"
"FFIV","F5 Networks","reports","Information Technology","Networking Equipment","Seattle, Washington","2010-12-20","0001048695"
"FB","Facebook","reports","Information Technology","Internet Software & Services","Menlo Park, California","2013-12-23","0001326801"
"FAST","Fastenal Co","reports","Industrials","Building Products","Winona, Minnesota","2009-09-15","0000815556"
"FRT","Federal Realty Investment Trust","reports","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01","0000034903"
"FDX","FedEx Corporation","reports","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31","0001048911"
"FIS","Fidelity National Information Services","reports","Information Technology","Internet Software & Services","Jacksonville, Florida","","0001136893"
"FITB","Fifth Third Bancorp","reports","Financials","Banks","Cincinnati, Ohio","","0000035527"
"FSLR","First Solar Inc","reports","Information Technology","Semiconductors","Tempe, Arizona","2009-10-16","0001274494"
"FE","FirstEnergy Corp","reports","Utilities","Electric Utilities","Akron, Ohio","","0001031296"
"FISV","Fiserv Inc","reports","Information Technology","Internet Software & Services","Brookfield, Wisconsin","","0000798354"
"FLIR","FLIR Systems","reports","Information Technology","Electronic Equipment & Instruments","Wilsonville, Oregon","2009-01-02","0000354908"
"FLS","Flowserve Corporation","reports","Industrials","Industrial Machinery","Irving, Texas","2008-10-02","0000030625"
"FLR","Fluor Corp.","reports","Industrials","Diversified Commercial Services","Irving, Texas","1980-03-31","0001124198"
"FMC","FMC Corporation","reports","Materials","Diversified Chemicals","Philadelphia, Pennsylvania","2009-08-19","0000037785"
"FTI","FMC Technologies Inc.","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","2009-06-05","0001135152"
"FL","Foot Locker Inc","reports","Consumer Discretionary","Apparel Retail","New York, New York","2016-04-04","0000850209"
"F","Ford Motor","reports","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","","0000037996"
"FTV","Fortive Corp","reports","Industrials","Industrial Machinery","Everett, Washington","2016-07-01","0001659166"
"FBHS","Fortune Brands Home & Security","reports","Industrials","Building Products","Deerfield, Illinois","2016-06-22","0001519751"
"BEN","Franklin Resources","reports","Financials","Asset Management & Custody Banks","San Mateo, California","","0000038777"
"FCX","Freeport-McMoran Cp & Gld","reports","Materials","Copper","Phoenix, Arizona","","0000831259"
"FTR","Frontier Communications","reports","Telecommunications Services","Integrated Telecommunications Services","Stamford, Connecticut","","0000020520"
"GPS","Gap (The)","reports","Consumer Discretionary","Apparel Retail","San Francisco, California","1986-08-31","0000039911"
"GRMN","Garmin Ltd.","reports","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12","0001121788"
"GD","General Dynamics","reports","Industrials","Aerospace & Defense","Falls Church, Virginia","","0000040533"
"GE","General Electric","reports","Industrials","Industrial Conglomerates","Fairfield, Connecticut","","0000040545"
"GGP","General Growth Properties Inc.","reports","Real Estate","Retail REITs","Chicago, Illinois","2013-12-10","0000895648"
"GIS","General Mills","reports","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1969-03-31","0000040704"
"GM","General Motors","reports","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06","0001467858"
"GPC","Genuine Parts","reports","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","1973-12-31","0000040987"
"GILD","Gilead Sciences","reports","Health Care","Biotechnology","Foster City, California","","0000882095"
"GPN","Global Payments Inc","reports","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2016-04-25","0001123360"
"GS","Goldman Sachs Group","reports","Financials","Investment Banking & Brokerage","New York, New York","","0000886982"
"GT","Goodyear Tire & Rubber","reports","Consumer Discretionary","Tires & Rubber","Akron, Ohio","","0000042582"
"GWW","Grainger (W.W.) Inc.","reports","Industrials","Industrial Materials","Lake Forest, Illinois","1981-06-30","0000277135"
"HAL","Halliburton Co.","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","","0000045012"
"HBI","Hanesbrands Inc","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina","2015-03-20","0001359841"
"HOG","Harley-Davidson","reports","Consumer Discretionary","Motorcycle Manufacturers","Milwaukee, Wisconsin","","0000793952"
"HAR","Harman Int'l Industries","reports","Consumer Discretionary","Consumer Electronics","Stamford, Connecticut","","0000800459"
"HRS","Harris Corporation","reports","Information Technology","Telecommunications Equipment","Melbourne, Florida","2008-09-22","0000202058"
"HIG","Hartford Financial Svc.Gp.","reports","Financials","Property & Casualty Insurance","Hartford, Connecticut","","0000874766"
"HAS","Hasbro Inc.","reports","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30","0000046080"
"HCA","HCA Holdings","reports","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27","0000860730"
"HCP","HCP Inc.","reports","Real Estate","REITs","Long Beach, California","2008-03-31","0000765880"
"HP","Helmerich & Payne","reports","Energy","Oil & Gas Drilling","Tulsa, Oklahoma[5]","","0000046765"
"HSIC","Henry Schein","reports","Health Care","Health Care Distributors","Melville, New York","2015-03-17","0001000228"
"HES","Hess Corporation","reports","Energy","Integrated Oil & Gas","New York, New York","1984-05-31","0000004447"
"HPE","Hewlett Packard Enterprise","reports","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","2015-11-02","0001645590"
"HOLX","Hologic","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30","0000859737"
"HD","Home Depot","reports","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31","0000354950"
"HON","Honeywell Int'l Inc.","reports","Industrials","Industrial Conglomerates","Morristown, New Jersey","1964-03-31","0000773840"
"HRL","Hormel Foods Corp.","reports","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04","0000048465"
"HST","Host Hotels & Resorts","reports","Real Estate","REITs","Bethesda, Maryland","2007-03-20","0001070750"
"HPQ","HP Inc.","reports","Information Technology","Computer Hardware","Palo Alto, California","1974-12-31","0000047217"
"HUM","Humana Inc.","reports","Health Care","Managed Health Care","Louisville, Kentucky","","0000049071"
"HBAN","Huntington Bancshares","reports","Financials","Banks","Columbus, Ohio","","0000049196"
"IDXX","IDEXX Laboratories","reports","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05","0000874716"
"ITW","Illinois Tool Works","reports","Industrials","Industrial Machinery","Glenview, Illinois","1986-02-28","0000049826"
"ILMN","Illumina Inc","reports","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19","0001110803"
"IR","Ingersoll-Rand PLC","reports","Industrials","Industrial Conglomerates","Dublin, Ireland","2010-11-17","0001466258"
"INTC","Intel Corp.","reports","Information Technology","Semiconductors","Santa Clara, California","1976-12-31","0000050863"
"ICE","Intercontinental Exchange","reports","Financials","Diversified Financial Services","Atlanta, Georgia","2007-09-26","0001571949"
"IBM","International Business Machines","reports","Information Technology","IT Consulting & Other Services","Armonk, New York","","0000051143"
"IP","International Paper","reports","Materials","Paper Packaging","Memphis, Tennessee","","0000051434"
"IPG","Interpublic Group","reports","Consumer Discretionary","Advertising","New York, New York","1992-10-01","0000051644"
"IFF","Intl Flavors & Fragrances","reports","Materials","Specialty Chemicals","New York, New York","1976-03-31","0000051253"
"INTU","Intuit Inc.","reports","Information Technology","Internet Software & Services","Mountain View, California","2000-12-05","0000896878"
"ISRG","Intuitive Surgical Inc.","reports","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02","0001035267"
"IVZ","Invesco Ltd.","reports","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21","0000914208"
"IRM","Iron Mountain Incorporated","reports","Real Estate","REITs","Boston, Massachusetts","2009-01-06","0001020569"
"JBHT","J. B. Hunt Transport Services","reports","Industrials","Trucking","Lowell, Arkansas","2015-07-01","0000728535"
"JEC","Jacobs Engineering Group","reports","Industrials","Industrial Conglomerates","Pasadena, California","2007-10-26","0000052988"
"SJM","JM Smucker","reports","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","2008-11-06","0000091419"
"JNJ","Johnson & Johnson","reports","Health Care","Health Care Equipment","New Brunswick, New Jersey","1973-06-30","0000200406"
"JCI","Johnson Controls International","reports","Industrials","Building Products","Cork, Ireland","2010-08-27","0000833444"
"JPM","JPMorgan Chase & Co.","reports","Financials","Banks","New York, New York","1975-06-30","0000019617"
"JNPR","Juniper Networks","reports","Information Technology","Networking Equipment","Sunnyvale, California","","0001043604"
"KSU","Kansas City Southern","reports","Industrials","Railroads","Kansas City, Missouri","2013-05-24","0000054480"
